Accession,Organism_Name,Organism_Common_Name,Organism_Taxonomic_ID,Submitter,Submission_Date,Sequencing_Tech,Level,Contig_L50,Contig_N50,GC_Count,GC_Percent,Number_of_Component_Sequences,Number_of_Contigs,Number_of_Scaffolds,Scaffold_L50,Scaffold_N50,Total_Number_of_Chromosomes,Total_Sequence_Length,Total_Ungapped_Length,Organism_Infraspecific_Names_Sex,Source_Database,WGS_project_accession,First_Publication_Date,Original_Contig_N50,Phylum,Sequencing_Type
GCA_028565895.1,Goniobranchus geometricus,,262603,Iridian Genomes,2023-02-09,Illumina,Scaffold,105439,2464,345919827.0,38.0,467213,468920,467213.0,105005.0,2471.0,,907216199,907141320,,SOURCE_DATABASE_GENBANK,JAOWAY01,2023-02-09,2464,Mollusca,Short read
GCA_025770095.1,Goniobranchus kuniei,,262604,Iridian Genomes,2022-10-20,Illumina,Scaffold,129207,2720,447370275.0,37.5,573529,579338,573529.0,127834.0,2743.0,,1190951304,1190784535,,SOURCE_DATABASE_GENBANK,JAOYNN01,2022-10-20,2720,Mollusca,Short read
GCA_028566475.1,Goniobranchus leopardus,,262605,Iridian Genomes,2023-02-09,Illumina,Scaffold,120861,1176,174370939.0,40.0,395694,396105,395694.0,120562.0,1177.0,,432546281,432513920,,SOURCE_DATABASE_GENBANK,JAOWAM01,2023-02-09,1176,Mollusca,Short read
GCA_012064415.1,Gyrodactylus bullatarudis,,82660,Adam Mickiewicz University,2020-04-06,Illumina HiSeq,Scaffold,189,124054,26037476.0,31.0,4331,5021,4331.0,75.0,308184.0,,84346884,83305429,,SOURCE_DATABASE_GENBANK,SSNU01,2020-04-06,124054,Platyhelminthes,Short read
GCA_000715275.1,Gyrodactylus salaris,gyrodactylosis fluke,37629,"Natural History Museum, University of Oslo",2014-06-27,454; Illumina GAII,Scaffold,1324,14673,22800361.0,33.5,7265,7265,6075.0,1058.0,18390.0,,67380660,67348420,hermaphrodite,SOURCE_DATABASE_GENBANK,JJOG01,2014-06-27,14673,Platyhelminthes,Short read
GCA_022045235.1,Haliotis cracherodii,black abalone,6455,UCLA,2022-02-08,PacBio Sequel II; Illumina NovaSeq; Dovetail OmniC,Scaffold,18,17462865,479708522.0,40.5,80,158,80.0,9.0,60096789.0,,1182234246,1182226430,,SOURCE_DATABASE_GENBANK,JAJLRC01,2022-02-08,17462865,Mollusca,Long read
GCA_022045225.1,Haliotis cracherodii,black abalone,6455,UCLA,2022-02-07,PacBio Sequel II; Illumina Nova; Dovetail OmniC,Scaffold,179,2050337,487524321.0,40.5,1215,1947,1215.0,10.0,52875726.0,,1201949479,1201876271,,SOURCE_DATABASE_GENBANK,JAJLRD01,2022-02-07,2050337,Mollusca,Long read
GCA_008038995.1,Haliotis laevigata,greenlip abalone,36097,CSIRO,2019-08-20,Illumina HiSeq,Scaffold,95308,3353,472308243.0,39.5,105411,564152,105411.0,5202.0,81233.0,,1762655385,1183333676,female,SOURCE_DATABASE_GENBANK,VKKT01,2019-08-20,3353,Mollusca,Short read
GCF_003918875.1,Haliotis rubra,blacklip abalone,36100,Deakin University,2018-12-07,Oxford Nanopore MiniION; Illumina NovaSeq,Scaffold,316,1177711,558527564.0,40.5,2854,3108,2854.0,304.0,1227833.0,,1378265264,1378239864,,SOURCE_DATABASE_REFSEQ,QXJH01,2018-12-07,1177711,Mollusca,Long read
GCA_003918875.1,Haliotis rubra,blacklip abalone,36100,Deakin University,2018-12-07,Oxford Nanopore MiniION; Illumina NovaSeq,Scaffold,316,1177711,558527564.0,40.5,2854,3108,2854.0,304.0,1227833.0,,1378265264,1378239864,,SOURCE_DATABASE_GENBANK,QXJH01,2018-12-07,1177711,Mollusca,Long read
GCF_023055435.1,Haliotis rufescens,red abalone,6454,UCLA,2022-04-19,PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq,Scaffold,43,8868657,545215729.0,40.5,615,769,615.0,11.0,45695856.0,,1334454214,1334438814,,SOURCE_DATABASE_REFSEQ,JALGQA01,2022-04-19,8868657,Mollusca,Long read
GCF_003343065.1,Haliotis rufescens,red abalone,6454,Iowa State University,2018-07-26,PacBio; Illumina HiSeq,Scaffold,1343,283651,602549135.0,40.5,8370,20861,8370.0,214.0,1895871.0,,1498683185,1480327122,,SOURCE_DATABASE_REFSEQ,QGMO01,2018-07-26,283651,Mollusca,Long read
GCA_003343065.1,Haliotis rufescens,red abalone,6454,Iowa State University,2018-07-27,PacBio; Illumina HiSeq,Scaffold,1343,283651,602549135.0,40.5,8370,20861,8370.0,214.0,1895871.0,,1498683185,1480327122,,SOURCE_DATABASE_GENBANK,QGMO01,2018-07-27,283651,Mollusca,Long read
GCA_023055435.1,Haliotis rufescens,red abalone,6454,UCLA,2022-04-19,PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq,Scaffold,43,8868657,545215729.0,40.5,615,769,615.0,11.0,45695856.0,,1334454214,1334438814,,SOURCE_DATABASE_GENBANK,JALGQA01,2022-04-19,8868657,Mollusca,Long read
GCA_023055495.1,Haliotis rufescens,red abalone,6454,UCLA,2022-04-19,PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq,Scaffold,50,7900433,563057468.0,40.5,362,494,362.0,12.0,44111220.0,,1379205445,1379192245,,SOURCE_DATABASE_GENBANK,JALGQB01,2022-04-19,7900433,Mollusca,Long read
GCA_015501135.1,Hapalochlaena maculosa,,61716,James Cook University,2020-11-16,Illumina,Scaffold,567801,1130,907042167.0,37.0,48284,4366465,48284.0,1044.0,931835.0,,4009598772,2435282828,female,SOURCE_DATABASE_GENBANK,JACXVO01,2020-11-16,1130,Mollusca,Short read
GCA_947462335.1,Harmothoe impar,,46595,WELLCOME SANGER INSTITUTE,2022-12-06,"PacBio,Arima2",Chromosome,324,1337000,646305852.0,42.5,861,3019,861.0,8.0,83397641.0,18.0,1512304043,1511872626,,SOURCE_DATABASE_GENBANK,CANHQG01,2022-12-06,1337000,Annelida,Long read
GCA_947462385.1,Harmothoe impar,,46595,WELLCOME SANGER INSTITUTE,2022-12-02,"PacBio,Arima2",Scaffold,907,431858,596632747.0,42.5,6659,6738,6659.0,876.0,440568.0,,1399825932,1399810315,,SOURCE_DATABASE_GENBANK,CANHQH01,2022-12-02,431858,Annelida,Long read
GCF_000326865.2,Helobdella robusta,,6412,DOE Joint Genome Institute,2012-12-20,Sanger,Scaffold,1171,52308,70646256.0,32.5,12191,12191,1917.0,21.0,3060193.0,,235049875,215271529,,SOURCE_DATABASE_REFSEQ,AMQM01,2012-12-20,52195,Annelida,Short read
GCA_000326865.1,Helobdella robusta,,6412,DOE Joint Genome Institute,2012-12-20,Sanger,Scaffold,1173,52195,70706679.0,32.5,12292,12292,1991.0,21.0,3060193.0,,235376169,215436567,,SOURCE_DATABASE_GENBANK,AMQM01,2012-12-20,52195,Annelida,Short read
GCA_944470555.2,Heterobilharzia americana,,39320,WELLCOME SANGER INSTITUTE,2022-09-20,nan,Chromosome,40,5116422,258254326.0,38.5,393,1475,393.0,3.0,86847596.0,8.0,665588900,665164236,,SOURCE_DATABASE_GENBANK,CALYCZ02,2022-09-20,5116422,Platyhelminthes,No information provided
GCA_944470545.2,Heterobilharzia americana,,39320,WELLCOME SANGER INSTITUTE,2022-09-20,nan,Chromosome,98,2066510,265463675.0,38.5,736,1350,736.0,3.0,85344987.0,8.0,685355840,685114204,,SOURCE_DATABASE_GENBANK,CALYCY02,2022-09-19,2066510,Platyhelminthes,No information provided
GCA_027564295.1,Himantozoum antarcticum,,2663172,IRIDIAN GENOMES,2023-01-03,Illumina,Scaffold,64258,2956,261263976.0,38.0,349636,353478,349636.0,63296.0,2980.0,,683059872,682880626,,SOURCE_DATABASE_GENBANK,JAOQGN01,2023-01-03,2956,Bryozoa,Short read
GCA_946811185.1,Hippopus hippopus,,80818,WELLCOME SANGER INSTITUTE,2022-09-15,"PacBio,Arima2",Chromosome,70,4905753,389412536.0,36.0,37,381,37.0,8.0,63014760.0,19.0,1068488762,1068419962,,SOURCE_DATABASE_GENBANK,CAMPFA01,2022-09-15,4905753,Mollusca,Long read
GCA_946811455.1,Hippopus hippopus,,80818,WELLCOME SANGER INSTITUTE,2022-09-20,nan,Scaffold,522,557407,351087434.0,36.0,3880,3885,3880.0,519.0,558534.0,,963384114,963383286,,SOURCE_DATABASE_GENBANK,CAMPFB01,2022-09-20,557407,Mollusca,No information provided
GCA_015345955.1,Hirudinaria manillensis,,1348078,Shaanxi Normal University,2020-11-10,PacBio RSII,Contig,20,2277518,54593189.0,35.5,467,467,,,,,151673145,151673145,,SOURCE_DATABASE_GENBANK,JADEYA01,2020-11-10,2277518,Annelida,Long read
GCA_011800805.1,Hirudo medicinalis,medicinal leech,6421,Scientific Research Institute of Physical-Chemical Medicine of the Federal Medical and Biological Agency,2020-03-31,IonTorrent,Scaffold,1548,24951,56274521.0,36.0,14030,25027,14030.0,488.0,97775.0,,187546627,156124195,,SOURCE_DATABASE_GENBANK,MPNW01,2020-03-31,24951,Annelida,Short read
GCA_903470615.1,Hirudo medicinalis,medicinal leech,6421,Centre de Biologie pour la Gestion des Populations (CBGP - UMR1062),2020-06-05,nan,Scaffold,2772,14470,61709416.0,35.5,19929,36325,19929.0,772.0,50382.0,,176963465,171703725,,SOURCE_DATABASE_GENBANK,CAGKPE01,2020-06-05,14470,Annelida,No information provided
GCA_020137395.1,Hirudo verbana,,311461,University of South Dakota,2021-09-24,HiSeq2500,Scaffold,27826,2079,90630416.0,38.5,59817,281242,59817.0,8077.0,8388.0,,234989291,232775041,,SOURCE_DATABASE_GENBANK,JAIQDV01,2021-09-24,2079,Annelida,Short read
GCA_900622495.1,Hydatigera taeniaeformis,,6205,WTSI,2018-12-05,nan,Scaffold,1592,9405,43201382.0,42.5,30091,45909,30091.0,1153.0,12558.0,,103664560,100513712,,SOURCE_DATABASE_GENBANK,UYWX01,2018-12-05,9405,Platyhelminthes,No information provided
GCA_001703475.1,Hydroides elegans,calcareous tube worm,216498,Caltech,2016-08-11,Illumina HiSeq,Scaffold,47338,5980,354778385.0,35.0,188407,370534,188407.0,16688.0,17329.0,,1026046400,1000331146,male,SOURCE_DATABASE_GENBANK,LQRL01,2016-08-11,5980,Annelida,Short read
GCA_900708905.1,Hymenolepis diminuta,rat tapeworm,6216,UNIVERSITY OF WARMIA AND MAZURY,2019-03-25,nan,Scaffold,669,75101,59217247.0,35.0,719,7154,719.0,23.0,2537350.0,,177347734,167975287,,SOURCE_DATABASE_GENBANK,CAADRB01,2019-03-25,75101,Platyhelminthes,No information provided
GCA_900618445.1,Hymenolepis diminuta,rat tapeworm,6216,WTSI,2018-12-05,nan,Scaffold,1178,38145,57975287.0,35.0,13910,18736,13910.0,898.0,49882.0,,165878914,164748079,,SOURCE_DATABASE_GENBANK,UYSG01,2018-12-05,38145,Platyhelminthes,No information provided
GCA_902177915.1,Hymenolepis diminuta,rat tapeworm,6216,UNIVERSITY OF WARMIA AND MAZURY,2019-08-06,nan,Scaffold,669,75101,59207839.0,35.0,719,7118,719.0,25.0,2331359.0,,177074070,167950876,,SOURCE_DATABASE_GENBANK,CABIJS01,2019-08-06,75101,Platyhelminthes,No information provided
GCA_000469805.3,Hymenolepis microstoma,,85433,WTSI,2019-03-07,nan,Chromosome,8,5805005,59103107.0,36.0,6,90,6.0,3.0,25815276.0,6.0,168929297,162442651,,SOURCE_DATABASE_GENBANK,,2013-08-29,78513,Platyhelminthes,No information provided
GCA_028554795.1,Hyriopsis cumingii,,165450,Shanghai Ocean University,2023-02-09,10X Genomics,Chromosome,1237,736175,1221530703.0,36.0,7726,15982,7726.0,15.0,84386632.0,19.0,3387447394,3386621794,female,SOURCE_DATABASE_GENBANK,JAPYKE01,2023-02-09,736175,Mollusca,Short read
GCA_001642005.1,Intoshia linei,,1819745,"A.N. Belozersky Institute of Physico-Chemical Biology, Lomonosov Moscow State University",2016-05-10,Illumina HiSeq,Scaffold,481,25991,10793817.0,25.5,3520,3591,3520.0,476.0,26268.0,,41603068,41601659,,SOURCE_DATABASE_GENBANK,LWCA01,2016-05-10,25991,Orthonectida,Short read
GCA_009193005.1,Lamellibrachia luymesi,,238240,Auburn University,2019-10-21,Illumina,Scaffold,6538,24086,241607480.0,40.0,11870,55092,11870.0,549.0,372990.0,,687706213,601641922,,SOURCE_DATABASE_GENBANK,SDWI01,2019-10-21,24086,Annelida,Short read
GCA_022478865.1,Lamellibrachia satsuma,,104711,National Marine Biodiversity Institute of Korea,2022-03-04,Illumina NovaSeq; Oxford Nanopore GridION,Contig,700,267064,266216938.0,40.0,6320,6320,,,,,664980951,664980951,,SOURCE_DATABASE_GENBANK,JAHXPS01,2022-03-04,267064,Annelida,Long read
GCA_004794575.1,Lanistes nyassanus,,500758,Hong Kong Baptist University,2019-04-15,Illumina HiSeq,Scaffold,5657,25785,214611381.0,43.0,17149,52280,17149.0,455.0,317839.0,,507389202,496989564,female,SOURCE_DATABASE_GENBANK,SMGT01,2019-04-15,25785,Mollusca,Short read
GCA_936440205.1,Lepidonotus clava,,1210411,WELLCOME SANGER INSTITUTE,2022-05-03,nan,Chromosome,39,7105433,412218362.0,40.5,400,798,400.0,8.0,55150419.0,18.0,1010237070,1010157653,,SOURCE_DATABASE_GENBANK,CAKZFK01,2022-05-03,7105433,Annelida,No information provided
GCA_936448955.1,Lepidonotus clava,,1210411,WELLCOME SANGER INSTITUTE,2022-04-16,nan,Scaffold,159,1812157,404479691.0,40.5,1481,1494,1481.0,157.0,1828373.0,,994890984,994888384,,SOURCE_DATABASE_GENBANK,CAKZFS01,2022-04-16,1812157,Annelida,No information provided
GCA_009866985.1,Limacina bulimoides,,1323128,Naturalis Biodiversity Center,2020-01-14,Illumina NextSeq,Scaffold,1007806,884,988648721.0,34.0,3735749,3759355,3735749.0,995056.0,893.0,,2901930333,2901091377,,SOURCE_DATABASE_GENBANK,SWLX01,2020-01-14,884,Mollusca,Short read
GCA_944474755.1,Limnoperna fortunei,,356393,WELLCOME SANGER INSTITUTE,2022-07-13,nan,Chromosome,277,1498882,448731226.0,33.5,309,1838,309.0,7.0,97051362.0,15.0,1335559959,1335254342,,SOURCE_DATABASE_GENBANK,CALYDG01,2022-07-13,1498882,Mollusca,No information provided
GCA_003130415.1,Limnoperna fortunei,,356393,GIGA,2018-05-16,Illumina NextSeq 500; PacBio,Scaffold,16505,32203,566529853.0,33.5,20580,61104,20580.0,1489.0,309123.0,,1673223206,1669374327,,SOURCE_DATABASE_GENBANK,NFUK01,2018-05-16,32203,Mollusca,Long read
GCA_944589985.1,Limnoperna fortunei,,356393,WELLCOME SANGER INSTITUTE,2022-07-13,nan,Scaffold,265,1576211,467886966.0,33.5,1678,1683,1678.0,265.0,1576211.0,,1391583978,1391582978,,SOURCE_DATABASE_GENBANK,CALYMZ01,2022-07-13,1576211,Mollusca,No information provided
GCA_910592395.2,Lineus longissimus,,88925,WELLCOME SANGER INSTITUTE,2022-02-13,nan,Chromosome,14,9910080,161975263.0,41.0,30,107,30.0,8.0,20961375.0,19.0,391165532,391151032,,SOURCE_DATABASE_GENBANK,CAJUZJ02,2021-07-07,9910080,Nemertea,No information provided
GCA_910592375.2,Lineus longissimus,,88925,WELLCOME SANGER INSTITUTE,2022-02-13,nan,Scaffold,41,2664490,159379723.0,41.0,400,401,400.0,41.0,2664490.0,,384922748,384922715,,SOURCE_DATABASE_GENBANK,CAJUZK02,2021-07-07,2664490,Nemertea,No information provided
GCF_001039355.2,Lingula anatina,,7574,Okinawa Institute of Science and Technology Graduate University (OIST),2018-01-26,454; Illumina MiSeq; Illumina HiSeq; PacBio,Scaffold,1942,56068,141655982.0,36.0,2677,13877,2677.0,271.0,460090.0,,406282338,388995278,male,SOURCE_DATABASE_REFSEQ,LFEI02,2015-06-24,53371,Brachiopoda,Long read
GCA_001039355.2,Lingula anatina,,7574,Okinawa Institute of Science and Technology Graduate University (OIST),2018-01-26,454; Illumina MiSeq; Illumina HiSeq; PacBio,Scaffold,1942,56068,141655982.0,36.0,2677,13877,2677.0,271.0,460090.0,,406282338,388995278,male,SOURCE_DATABASE_GENBANK,LFEI02,2015-06-24,53371,Brachiopoda,Long read
GCA_028566495.1,Lithophaga antillarum,,310900,Iridian Genomes,2023-02-09,Illumina,Scaffold,154745,2637,476377588.0,33.5,724861,735820,724861.0,146516.0,2680.0,,1419759205,1412501159,,SOURCE_DATABASE_GENBANK,JAOXYI01,2023-02-09,2637,Mollusca,Short read
GCA_028566555.1,Lithophaga nigra,black date mussel,112136,Iridian Genomes,2023-02-09,Illumina,Scaffold,187808,2277,506659211.0,34.0,839717,852972,839717.0,179131.0,2310.0,,1492027032,1484568348,,SOURCE_DATABASE_GENBANK,JAOXYJ01,2023-02-09,2277,Mollusca,Short read
GCF_000327385.1,Lottia gigantea,owl limpet,225164,DOE Joint Genome Institute,2012-12-20,Sanger,Scaffold,871,96027,99469179.0,33.0,18335,18335,4469.0,51.0,1870055.0,,359505668,298896825,,SOURCE_DATABASE_REFSEQ,AMQO01,2012-12-20,96027,Mollusca,Short read
GCA_000327385.1,Lottia gigantea,owl limpet,225164,DOE Joint Genome Institute,2012-12-20,Sanger,Scaffold,871,96027,99469179.0,33.0,18335,18335,4469.0,51.0,1870055.0,,359505668,298896825,,SOURCE_DATABASE_GENBANK,AMQO01,2012-12-20,96027,Mollusca,Short read
GCA_945859605.1,Lumbricus rubellus,humus earthworm,35632,WELLCOME SANGER INSTITUTE,2022-09-13,nan,Chromosome,337,709756,318555484.0,40.0,380,2260,380.0,8.0,41365854.0,18.0,787515170,787139170,,SOURCE_DATABASE_GENBANK,CAMAOG01,2022-09-13,709756,Annelida,No information provided
GCA_945859625.1,Lumbricus rubellus,humus earthworm,35632,WELLCOME SANGER INSTITUTE,2022-09-13,nan,Scaffold,1026,189550,282303581.0,40.0,7119,7381,7119.0,872.0,199733.0,,699097700,699045300,,SOURCE_DATABASE_GENBANK,CAMAOJ01,2022-09-13,189550,Annelida,No information provided
GCA_008271625.1,Lutraria rhynchaena,,1380851,"Fisheries and Technical, Economic College",2019-09-04,Illumina NovaSeq; Oxford Nanopore MiniION,Contig,74,2143760,182732983.0,33.5,622,622,,,,,543903147,543903147,,SOURCE_DATABASE_GENBANK,VIBL01,2019-09-04,2143760,Mollusca,Long read
GCA_900036025.1,Lymnaea stagnalis,great pond snail,6523,BANG,2016-03-25,nan,Contig,34753,5751,311256607.0,37.0,328378,328378,,,,,833229131,833229131,,SOURCE_DATABASE_GENBANK,FCFB01,2016-03-25,5751,Mollusca,No information provided
GCA_002269645.1,Macrostomum lignano,,282301,University Medical Center Groningen,2017-08-24,Illumina HiSeq; 454; PacBio,Scaffold,962,215276,350124982.0,45.5,5269,5974,5269.0,845.0,246204.0,,764410778,762829326,hermaphrodite,SOURCE_DATABASE_GENBANK,NIVC01,2017-08-24,215276,Platyhelminthes,Long read
GCA_001188465.1,Macrostomum lignano,,282301,Cold Spring Harbor Laboratory,2015-07-29,PacBio,Contig,6556,36723,478345097.0,45.5,49174,49174,,,,,1040124789,1040124789,,SOURCE_DATABASE_GENBANK,LFJF01,2015-07-29,36723,Platyhelminthes,Long read
GCA_022393335.1,Macrotrachela quadricornifera,,104788,Harvard University,2022-02-25,Illumina HiSeq,Scaffold,3725,32858,129766368.0,29.5,25514,36026,25514.0,373.0,242167.0,,525309123,438752792,,SOURCE_DATABASE_GENBANK,JAJEKB01,2022-02-25,32858,Rotifera,Short read
GCA_022393275.1,Macrotrachela quadricornifera,,104788,Harvard University,2022-02-25,Illumina HiSeq,Scaffold,3353,30131,116630927.0,29.5,27460,36469,27460.0,871.0,103719.0,,437891079,393288032,,SOURCE_DATABASE_GENBANK,JAJEKC01,2022-02-25,30131,Rotifera,Short read
GCA_022393295.1,Macrotrachela quadricornifera,,104788,Harvard University,2022-02-25,Illumina HiSeq,Scaffold,3728,33314,133306874.0,29.5,24981,35179,24981.0,347.0,236833.0,,532957679,450655912,,SOURCE_DATABASE_GENBANK,JAJEKA01,2022-02-25,33314,Rotifera,Short read
GCA_025267735.1,Mactra quadrangularis,,120570,Liaoning Ocean and Fisheries Science Research Institute,2022-09-25,PacBio Sequel,Chromosome,38,7487386,325711378.0,33.0,458,802,458.0,9.0,49304579.0,19.0,979316952,979282552,,SOURCE_DATABASE_GENBANK,JAMOLF01,2022-09-25,7487386,Mollusca,Long read
GCA_016163765.1,Magallana hongkongensis,,2653900,The Chinese University of Hong Kong,2020-12-21,Illumina,Scaffold,11666,17202,244288173.0,33.0,11926,98303,11926.0,5.0,72332161.0,,757928205,733473708,,SOURCE_DATABASE_GENBANK,WFKH01,2020-12-21,17202,Mollusca,Short read
GCA_015947965.1,Margaritifera margaritifera,freshwater pearlshell mussel,2505931,Universidade do Porto,2020-12-07,Illumina NovaSeq,Scaffold,34942,16891,793558705.0,35.0,105182,289398,105182.0,2393.0,288726.0,,2472071740,2240206465,female,SOURCE_DATABASE_GENBANK,JADWMO01,2020-12-07,16891,Mollusca,Short read
GCA_004794655.1,Marisa cornuarietis,,75126,Hong Kong University of Science and Technology,2019-04-15,Illumina NovaSeq; Oxford Nanopore MiniION,Contig,29,4359112,219011114.0,40.5,659,659,,,,,535287142,535287142,female,SOURCE_DATABASE_GENBANK,SMMW01,2019-04-15,4359112,Mollusca,Long read
GCA_016617855.1,Megalonaias nervosa,,52375,UNC Charlotte,2021-01-12,Illumina HiSeq; Oxford Nanopore PromethION,Scaffold,12597,50186,847243284.0,35.5,96308,97289,96308.0,12467.0,50649.0,,2365201850,2365165560,female,SOURCE_DATABASE_GENBANK,JAECUM01,2021-01-12,50186,Mollusca,Long read
GCA_028565955.1,Melanoides tuberculata,,55729,IRIDIAN GENOMES,2023-02-09,Illumina,Scaffold,301245,1042,418381252.0,41.5,1012549,1015159,1012549.0,300424.0,1044.0,,999040293,998997915,,SOURCE_DATABASE_GENBANK,JAOXNU01,2023-02-09,1042,Mollusca,Short read
GCA_914767715.1,Membranipora membranacea,,95170,WELLCOME SANGER INSTITUTE,2021-09-16,nan,Chromosome,12,7007262,128997336.0,38.0,21,93,21.0,5.0,29963023.0,11.0,339359933,339334733,,SOURCE_DATABASE_GENBANK,CAJZBW01,2021-09-16,7007262,Bryozoa,No information provided
GCA_914767555.1,Membranipora membranacea,,95170,WELLCOME SANGER INSTITUTE,2021-09-15,nan,Contig,37,2655483,115525855.0,37.5,278,278,,,,,304400989,304400989,,SOURCE_DATABASE_GENBANK,CAJZBF01,2021-09-15,2655483,Bryozoa,No information provided
GCF_021730395.1,Mercenaria mercenaria,northern quahog,6596,Stony Brook University,2022-02-01,Pacbio Sequel II; Illumina HiSeq; PacBio Sequel,Chromosome,10,82432825,648131363.0,34.5,4975,4977,4975.0,10.0,82914371.0,19.0,1858199728,1858182911,,SOURCE_DATABASE_REFSEQ,JAIXLV01,2022-02-01,82432825,Mollusca,Long read
GCF_014805675.1,Mercenaria mercenaria,northern quahog,6596,"Institute of Oceanology, Chinese Academy of Sciences",2020-10-02,PacBio Sequel; Illumina HiSeq,Chromosome,259,1779571,619925451.0,35.0,1431,4112,1431.0,9.0,91379220.0,19.0,1777616429,1768036014,,SOURCE_DATABASE_REFSEQ,WTXZ01,2020-10-02,1779571,Mollusca,Long read
GCA_014805675.2,Mercenaria mercenaria,northern quahog,6596,"Institute of Oceanology, Chinese Academy of Sciences",2020-10-02,PacBio Sequel; Illumina HiSeq,Chromosome,259,1779571,619925451.0,35.0,1431,4112,1431.0,9.0,91379220.0,19.0,1777616429,1768036014,,SOURCE_DATABASE_GENBANK,WTXZ01,2020-10-02,1773430,Mollusca,Long read
GCA_021730395.1,Mercenaria mercenaria,northern quahog,6596,Stony Brook University,2022-02-01,Pacbio Sequel II; Illumina HiSeq; PacBio Sequel,Chromosome,10,82432825,648131363.0,34.5,4975,4977,4975.0,10.0,82914371.0,19.0,1858199728,1858182911,,SOURCE_DATABASE_GENBANK,JAIXLV01,2022-02-01,82432825,Mollusca,Long read
GCA_900604375.1,Mesocestoides corti,,53468,WTSI,2018-12-05,nan,Scaffold,712,45917,48642759.0,41.5,7068,10164,7068.0,491.0,65880.0,,117181740,116274461,,SOURCE_DATABASE_GENBANK,UXSR01,2018-12-05,45917,Platyhelminthes,No information provided
GCA_018105865.1,Metaphire vulgaris,,1196096,Shanghai University of Medicine and Health Sciences,2021-04-26,Oxford Nanopore PromethION,Chromosome,61,3037406,292987349.0,40.0,280,763,280.0,17.0,16345198.0,41.0,728619257,728570957,,SOURCE_DATABASE_GENBANK,JACLAT01,2021-04-26,3037406,Annelida,Long read
GCA_947623455.1,Mimachlamys varia,,50417,WELLCOME SANGER INSTITUTE,2022-12-19,"PacBio,Illumina,Arima2",Chromosome,19,19361000,358147000.0,36.5,82,170,82.0,9.0,50749371.0,19.0,975359695,975342278,,SOURCE_DATABASE_GENBANK,CANQLB01,2022-12-19,19361000,Mollusca,Long read
GCA_947622925.1,Mimachlamys varia,,50417,WELLCOME SANGER INSTITUTE,2022-12-19,"PacBio,Illumina,Arima2",Contig,194,1518021,355406251.0,36.5,1366,1366,,,,,967474203,967474203,,SOURCE_DATABASE_GENBANK,CANQJP01,2022-12-19,1518021,Mollusca,Long read
GCF_002113885.1,Mizuhopecten yessoensis,Yesso scallop,6573,Novogene,2017-06-12,Illumina HiSeq,Scaffold,3829,65014,331413327.0,36.5,82658,120021,82658.0,344.0,803631.0,,987568220,907597680,male,SOURCE_DATABASE_REFSEQ,NEDP02,2017-06-12,65014,Mollusca,Short read
GCA_002113885.2,Mizuhopecten yessoensis,Yesso scallop,6573,Novogene,2017-06-12,Illumina HiSeq,Scaffold,3829,65014,331413327.0,36.5,82658,120021,82658.0,344.0,803631.0,,987568220,907597680,male,SOURCE_DATABASE_GENBANK,NEDP02,2017-04-27,65014,Mollusca,Short read
GCA_002080025.1,Modiolus philippinarum,,310899,Hong Kong University of Science and Technology,2017-04-05,Illumina HiSeq,Scaffold,39146,18389,849813215.0,33.5,74573,301873,74573.0,7755.0,100161.0,,2629556424,2502358876,,SOURCE_DATABASE_GENBANK,MJUU01,2017-04-05,18389,Mollusca,Short read
GCA_019097775.1,Moniezia expansa,sheep tapeworm,28841,Xinjiang Academy of Agricultural and Reclamation Sciences,2021-07-02,PacBio; Illumina HiSeq,Scaffold,14,3386365,53007943.0,38.5,548,574,548.0,7.0,7274224.0,,142225902,136538347,,SOURCE_DATABASE_GENBANK,JADFDV01,2021-07-02,3386365,Platyhelminthes,Long read
GCA_027122395.1,Muusoctopus eicomar,,1580132,Iridian Genomes,2022-12-20,Illumina,Scaffold,173566,679,112848332.0,36.5,411522,441315,411522.0,120562.0,732.0,,344064830,308139977,,SOURCE_DATABASE_GENBANK,JAOPJU01,2022-12-20,679,Mollusca,Short read
GCA_027124095.1,Muusoctopus leioderma,,2201794,Iridian Genomes,2022-12-20,Illumina,Scaffold,131829,3109,526919481.0,36.5,551327,618501,551327.0,67866.0,3814.0,,1531747144,1428991790,,SOURCE_DATABASE_GENBANK,JAOPJM01,2022-12-20,3109,Mollusca,Short read
GCA_027122495.1,Muusoctopus longibrachus,,1353015,Iridian Genomes,2022-12-20,Illumina,Scaffold,169054,1743,355074049.0,36.5,581304,681563,581304.0,85076.0,2244.0,,1067355155,959888740,,SOURCE_DATABASE_GENBANK,JAOPJV01,2022-12-20,1743,Mollusca,Short read
GCF_026914265.1,Mya arenaria,softshell,6604,Pacific Northwest Research Institute,2022-12-15,PacBio; Proximo Hi-C; 10x Chromium,Chromosome,121,3381420,429455032.0,35.0,17,539,17.0,8.0,71556252.0,17.0,1216068291,1216014423,female,SOURCE_DATABASE_REFSEQ,,2022-12-15,3381420,Mollusca,Long read
