Assembly Accession	Organism Name	Organism Common Name	Organism Taxonomic ID	Assembly Submitter	Assembly Submission Date	Assembly Sequencing Tech	Assembly Level	Assembly Stats Contig L50	Assembly Stats Contig N50	Assembly Stats GC Count	Assembly Stats GC Percent	Assembly Stats Number of Component Sequences	Assembly Stats Number of Contigs	Assembly Stats Number of Scaffolds	Assembly Stats Scaffold L50	Assembly Stats Scaffold N50	Assembly Stats Total Number of Chromosomes	Assembly Stats Total Sequence Length	Assembly Stats Total Ungapped Length	Organism Infraspecific Names Sex	Source Database	WGS project accession
GCA_910592375.2	Lineus longissimus		88925	WELLCOME SANGER INSTITUTE	2022-02-13		Scaffold	41	2664490	159379723	41	400	401	400	41	2664490		384922748	384922715		SOURCE_DATABASE_GENBANK	CAJUZK02
GCF_001039355.2	Lingula anatina		7574	Okinawa Institute of Science and Technology Graduate University (OIST)	2018-01-26	454; Illumina MiSeq; Illumina HiSeq; PacBio	Scaffold	1942	56068	141655982	36	2677	13877	2677	271	460090		406282338	388995278	male	SOURCE_DATABASE_REFSEQ	LFEI02
GCA_001039355.2	Lingula anatina		7574	Okinawa Institute of Science and Technology Graduate University (OIST)	2018-01-26	454; Illumina MiSeq; Illumina HiSeq; PacBio	Scaffold	1942	56068	141655982	36	2677	13877	2677	271	460090		406282338	388995278	male	SOURCE_DATABASE_GENBANK	LFEI02
GCA_028566495.1	Lithophaga antillarum		310900	Iridian Genomes	2023-02-09	Illumina	Scaffold	154745	2637	476377588	33.5	724861	735820	724861	146516	2680		1419759205	1412501159		SOURCE_DATABASE_GENBANK	JAOXYI01
GCA_028566555.1	Lithophaga nigra	black date mussel	112136	Iridian Genomes	2023-02-09	Illumina	Scaffold	187808	2277	506659211	34	839717	852972	839717	179131	2310		1492027032	1484568348		SOURCE_DATABASE_GENBANK	JAOXYJ01
GCF_000327385.1	Lottia gigantea	owl limpet	225164	DOE Joint Genome Institute	2012-12-20	Sanger	Scaffold	871	96027	99469179	33	18335	18335	4469	51	1870055		359505668	298896825		SOURCE_DATABASE_REFSEQ	AMQO01
GCA_000327385.1	Lottia gigantea	owl limpet	225164	DOE Joint Genome Institute	2012-12-20	Sanger	Scaffold	871	96027	99469179	33	18335	18335	4469	51	1870055		359505668	298896825		SOURCE_DATABASE_GENBANK	AMQO01
GCA_945859605.1	Lumbricus rubellus	humus earthworm	35632	WELLCOME SANGER INSTITUTE	2022-09-13		Chromosome	337	709756	318555484	40	380	2260	380	8	41365854	18	787515170	787139170		SOURCE_DATABASE_GENBANK	CAMAOG01
GCA_945859625.1	Lumbricus rubellus	humus earthworm	35632	WELLCOME SANGER INSTITUTE	2022-09-13		Scaffold	1026	189550	282303581	40	7119	7381	7119	872	199733		699097700	699045300		SOURCE_DATABASE_GENBANK	CAMAOJ01
GCA_008271625.1	Lutraria rhynchaena		1380851	Fisheries and Technical, Economic College	2019-09-04	Illumina NovaSeq; Oxford Nanopore MiniION	Contig	74	2143760	182732983	33.5	622	622					543903147	543903147		SOURCE_DATABASE_GENBANK	VIBL01
GCA_900036025.1	Lymnaea stagnalis	great pond snail	6523	BANG	2016-03-25		Contig	34753	5751	311256607	37	328378	328378					833229131	833229131		SOURCE_DATABASE_GENBANK	FCFB01
GCA_002269645.1	Macrostomum lignano		282301	University Medical Center Groningen	2017-08-24	Illumina HiSeq; 454; PacBio	Scaffold	962	215276	350124982	45.5	5269	5974	5269	845	246204		764410778	762829326	hermaphrodite	SOURCE_DATABASE_GENBANK	NIVC01
GCA_001188465.1	Macrostomum lignano		282301	Cold Spring Harbor Laboratory	2015-07-29	PacBio	Contig	6556	36723	478345097	45.5	49174	49174					1040124789	1040124789		SOURCE_DATABASE_GENBANK	LFJF01
GCA_022393335.1	Macrotrachela quadricornifera		104788	Harvard University	2022-02-25	Illumina HiSeq	Scaffold	3725	32858	129766368	29.5	25514	36026	25514	373	242167		525309123	438752792		SOURCE_DATABASE_GENBANK	JAJEKB01
GCA_022393275.1	Macrotrachela quadricornifera		104788	Harvard University	2022-02-25	Illumina HiSeq	Scaffold	3353	30131	116630927	29.5	27460	36469	27460	871	103719		437891079	393288032		SOURCE_DATABASE_GENBANK	JAJEKC01
GCA_022393295.1	Macrotrachela quadricornifera		104788	Harvard University	2022-02-25	Illumina HiSeq	Scaffold	3728	33314	133306874	29.5	24981	35179	24981	347	236833		532957679	450655912		SOURCE_DATABASE_GENBANK	JAJEKA01
GCA_025267735.1	Mactra quadrangularis		120570	Liaoning Ocean and Fisheries Science Research Institute	2022-09-25	PacBio Sequel	Chromosome	38	7487386	325711378	33	458	802	458	9	49304579	19	979316952	979282552		SOURCE_DATABASE_GENBANK	JAMOLF01
GCA_016163765.1	Magallana hongkongensis		2653900	The Chinese University of Hong Kong	2020-12-21	Illumina	Scaffold	11666	17202	244288173	33	11926	98303	11926	5	72332161		757928205	733473708		SOURCE_DATABASE_GENBANK	WFKH01
GCA_015947965.1	Margaritifera margaritifera	freshwater pearlshell mussel	2505931	Universidade do Porto	2020-12-07	Illumina NovaSeq	Scaffold	34942	16891	793558705	35	105182	289398	105182	2393	288726		2472071740	2240206465	female	SOURCE_DATABASE_GENBANK	JADWMO01
GCA_004794655.1	Marisa cornuarietis		75126	Hong Kong University of Science and Technology	2019-04-15	Illumina NovaSeq; Oxford Nanopore MiniION	Contig	29	4359112	219011114	40.5	659	659					535287142	535287142	female	SOURCE_DATABASE_GENBANK	SMMW01
GCA_016617855.1	Megalonaias nervosa		52375	UNC Charlotte	2021-01-12	Illumina HiSeq; Oxford Nanopore PromethION	Scaffold	12597	50186	847243284	35.5	96308	97289	96308	12467	50649		2365201850	2365165560	female	SOURCE_DATABASE_GENBANK	JAECUM01
GCA_028565955.1	Melanoides tuberculata		55729	IRIDIAN GENOMES	2023-02-09	Illumina	Scaffold	301245	1042	418381252	41.5	1012549	1015159	1012549	300424	1044		999040293	998997915		SOURCE_DATABASE_GENBANK	JAOXNU01
GCA_914767715.1	Membranipora membranacea		95170	WELLCOME SANGER INSTITUTE	2021-09-16		Chromosome	12	7007262	128997336	38	21	93	21	5	29963023	11	339359933	339334733		SOURCE_DATABASE_GENBANK	CAJZBW01
GCA_914767555.1	Membranipora membranacea		95170	WELLCOME SANGER INSTITUTE	2021-09-15		Contig	37	2655483	115525855	37.5	278	278					304400989	304400989		SOURCE_DATABASE_GENBANK	CAJZBF01
GCF_021730395.1	Mercenaria mercenaria	northern quahog	6596	Stony Brook University	2022-02-01	Pacbio Sequel II; Illumina HiSeq; PacBio Sequel	Chromosome	10	82432825	648131363	34.5	4975	4977	4975	10	82914371	19	1858199728	1858182911		SOURCE_DATABASE_REFSEQ	JAIXLV01
GCF_014805675.1	Mercenaria mercenaria	northern quahog	6596	Institute of Oceanology, Chinese Academy of Sciences	2020-10-02	PacBio Sequel; Illumina HiSeq	Chromosome	259	1779571	619925451	35	1431	4112	1431	9	91379220	19	1777616429	1768036014		SOURCE_DATABASE_REFSEQ	WTXZ01
GCA_014805675.2	Mercenaria mercenaria	northern quahog	6596	Institute of Oceanology, Chinese Academy of Sciences	2020-10-02	PacBio Sequel; Illumina HiSeq	Chromosome	259	1779571	619925451	35	1431	4112	1431	9	91379220	19	1777616429	1768036014		SOURCE_DATABASE_GENBANK	WTXZ01
GCA_021730395.1	Mercenaria mercenaria	northern quahog	6596	Stony Brook University	2022-02-01	Pacbio Sequel II; Illumina HiSeq; PacBio Sequel	Chromosome	10	82432825	648131363	34.5	4975	4977	4975	10	82914371	19	1858199728	1858182911		SOURCE_DATABASE_GENBANK	JAIXLV01
GCA_900604375.1	Mesocestoides corti		53468	WTSI	2018-12-05		Scaffold	712	45917	48642759	41.5	7068	10164	7068	491	65880		117181740	116274461		SOURCE_DATABASE_GENBANK	UXSR01
GCA_018105865.1	Metaphire vulgaris		1196096	Shanghai University of Medicine and Health Sciences	2021-04-26	Oxford Nanopore PromethION	Chromosome	61	3037406	292987349	40	280	763	280	17	16345198	41	728619257	728570957		SOURCE_DATABASE_GENBANK	JACLAT01
GCA_947623455.1	Mimachlamys varia		50417	WELLCOME SANGER INSTITUTE	2022-12-19	PacBio,Illumina,Arima2	Chromosome	19	19361000	358147000	36.5	82	170	82	9	50749371	19	975359695	975342278		SOURCE_DATABASE_GENBANK	CANQLB01
GCA_947622925.1	Mimachlamys varia		50417	WELLCOME SANGER INSTITUTE	2022-12-19	PacBio,Illumina,Arima2	Contig	194	1518021	355406251	36.5	1366	1366					967474203	967474203		SOURCE_DATABASE_GENBANK	CANQJP01
GCF_002113885.1	Mizuhopecten yessoensis	Yesso scallop	6573	Novogene	2017-06-12	Illumina HiSeq	Scaffold	3829	65014	331413327	36.5	82658	120021	82658	344	803631		987568220	907597680	male	SOURCE_DATABASE_REFSEQ	NEDP02
GCA_002113885.2	Mizuhopecten yessoensis	Yesso scallop	6573	Novogene	2017-06-12	Illumina HiSeq	Scaffold	3829	65014	331413327	36.5	82658	120021	82658	344	803631		987568220	907597680	male	SOURCE_DATABASE_GENBANK	NEDP02
GCA_002080025.1	Modiolus philippinarum		310899	Hong Kong University of Science and Technology	2017-04-05	Illumina HiSeq	Scaffold	39146	18389	849813215	33.5	74573	301873	74573	7755	100161		2629556424	2502358876		SOURCE_DATABASE_GENBANK	MJUU01
GCA_019097775.1	Moniezia expansa	sheep tapeworm	28841	Xinjiang Academy of Agricultural and Reclamation Sciences	2021-07-02	PacBio; Illumina HiSeq	Scaffold	14	3386365	53007943	38.5	548	574	548	7	7274224		142225902	136538347		SOURCE_DATABASE_GENBANK	JADFDV01
GCA_027122395.1	Muusoctopus eicomar		1580132	Iridian Genomes	2022-12-20	Illumina	Scaffold	173566	679	112848332	36.5	411522	441315	411522	120562	732		344064830	308139977		SOURCE_DATABASE_GENBANK	JAOPJU01
GCA_027124095.1	Muusoctopus leioderma		2201794	Iridian Genomes	2022-12-20	Illumina	Scaffold	131829	3109	526919481	36.5	551327	618501	551327	67866	3814		1531747144	1428991790		SOURCE_DATABASE_GENBANK	JAOPJM01
GCA_027122495.1	Muusoctopus longibrachus		1353015	Iridian Genomes	2022-12-20	Illumina	Scaffold	169054	1743	355074049	36.5	581304	681563	581304	85076	2244		1067355155	959888740		SOURCE_DATABASE_GENBANK	JAOPJV01
GCF_026914265.1	Mya arenaria	softshell	6604	Pacific Northwest Research Institute	2022-12-15	PacBio; Proximo Hi-C; 10x Chromium	Chromosome	121	3381420	429455032	35	17	539	17	8	71556252	17	1216068291	1216014423	female	SOURCE_DATABASE_REFSEQ	
GCA_026914265.1	Mya arenaria	softshell	6604	Pacific Northwest Research Institute	2022-12-15	PacBio; Proximo Hi-C; 10x Chromium	Chromosome	121	3381420	429455032	35	17	539	17	8	71556252	17	1216068291	1216014423	female	SOURCE_DATABASE_GENBANK	
GCA_922144925.1	Mya arenaria	softshell	6604	UNIVERSITY OF NEW HAMPSHIRE	2021-12-17		Scaffold	34554	10552	459497723	34.5	152330	226958	152330	21773	14639		1324960706	1313567680		SOURCE_DATABASE_GENBANK	CAKLJC01
GCA_028015205.1	Mytilisepta virgata		2547956	Ocean University of China	2023-01-31	PacBio	Chromosome	22	16191354	343100307	33	109	181	109	6	63395483	14	1034479799	1034472599		SOURCE_DATABASE_GENBANK	JAPWFG01
GCA_026413285.1	Mytilisepta virgata		2547956	Iridian Genomes	2022-11-27	Illumina	Scaffold	47265	4736	256424929	32.5	246813	254921	246813	41640	4924		786868874	783162866		SOURCE_DATABASE_GENBANK	JAOXJI01
GCF_021869535.1	Mytilus californianus	California mussel	6549	UCLA	2022-02-02	PacBio Sequel II; PacBio Sequel IIe; Dovetail OmniC; Illumina NovaSeq	Scaffold	30	16323199	538106148	32.5	175	499	175	7	117871512		1651950171	1651917553		SOURCE_DATABASE_REFSEQ	JAKFGE01
GCA_021869535.1	Mytilus californianus	California mussel	6549	UCLA	2022-02-03	PacBio Sequel II; PacBio Sequel IIe; Dovetail OmniC; Illumina NovaSeq	Scaffold	30	16323199	538106148	32.5	175	499	175	7	117871512		1651950171	1651917553		SOURCE_DATABASE_GENBANK	JAKFGE01
GCA_021869935.1	Mytilus californianus	California mussel	6549	UCLA	2022-02-02	PacBio Sequel II; PacBio Sequel IIe; Dovetail OmniC; Illumina NovaSeq	Scaffold	3562	167345	720843178	32.5	38315	38455	38315	3522	169002		2213012655	2212998515		SOURCE_DATABASE_GENBANK	JAKFGF01
GCA_017311375.1	Mytilus coruscus		42192	Shanghai Ocean University	2021-03-10	Oxford Nanopore PromethION	Chromosome	262	1481111	508239217	32	4434	6449	4434	7	99542347	14	1566529938	1566328438	female	SOURCE_DATABASE_GENBANK	JAASAO01
GCA_011752425.2	Mytilus coruscus		42192	NINGBO UNIVERSITY	2020-07-08		Scaffold	582	817337	613496248	32	10484	10746	10484	509	898347		1903825920	1903799720		SOURCE_DATABASE_GENBANK	CACVKT02
GCA_019925275.1	Mytilus edulis	blue mussel	6550	PEIMSO	2021-09-14	PacBio Sequel	Chromosome	836	490737	533081020	32	1119	9686	1119	7	116503180	14	1651313236	1650500272		SOURCE_DATABASE_GENBANK	JAHUZM01
GCA_025215535.1	Mytilus edulis	blue mussel	6550	ISEM	2022-09-16	Illumina NovaSeq	Chromosome	24468	23624	700579417	34.5	73615	169323	73615	416	228263	14	2076684032	2026303992		SOURCE_DATABASE_GENBANK	JAKGDG01
GCA_025276775.1	Mytilus edulis	blue mussel	6550	ISEM	2022-09-23	Illumina NovaSeq; 10X Genomics; Nanopore	Chromosome	15851	29172	521750243	32	28192	105756	28192	10	77102752	14	1764168478	1625982771		SOURCE_DATABASE_GENBANK	JAKGDH01
GCA_905397895.1	Mytilus edulis	blue mussel	6550	Institute of Aquaculture, University of Stirling, Stirling, UK	2021-06-17		Scaffold	978	511485	587612511	32	3339	5966	3339	465	1097279		1827085763	1826832447		SOURCE_DATABASE_GENBANK	CAJPWZ01
GCA_025277285.1	Mytilus galloprovincialis	Mediterranean mussel	29158	ISEM	2022-09-23	Illumina NovaSeq; 10X Genomics	Chromosome	16908	26323	502239155	32	41122	115913	41122	10	71952646	14	1658655998	1564394569		SOURCE_DATABASE_GENBANK	JAKGDF01
GCA_000715055.1	Mytilus galloprovincialis	Mediterranean mussel	29158	Deakin University	2014-05-18	Illumina HiSeq	Contig	350016	1067	517908018	31.5	2315965	2315965					1622683383	1622683383		SOURCE_DATABASE_GENBANK	APJB01
GCA_001676915.1	Mytilus galloprovincialis	Mediterranean mussel	29158	Universidade de Vigo	2017-03-16	Illumina HiSeq	Scaffold	144386	2627	471342123	31.5	1136100	1136100	1002334	128034	2931		1500149602	1485186660		SOURCE_DATABASE_GENBANK	LNJA01
GCA_900618805.1	Mytilus galloprovincialis	Mediterranean mussel	29158	CNAG	2020-10-12		Scaffold	4913	77157	402633069	32	10577	22883	10577	1904	207642		1282208009	1252567354		SOURCE_DATABASE_GENBANK	UYJE01
GCA_018389105.1	Nautilus pompilius		34573	Chinese Academy of Science	2021-05-17	Illumina; PacBio	Contig	181	1094646	267013738	36.5	2743	2743					729019367	729019367		SOURCE_DATABASE_GENBANK	JACATO01
GCA_002633025.1	Notospermus geniculatus		416868	Okinawa Institute of Science and Technology Graduate University (OIST)	2017-10-23	Illumina MiSeq; Illumina HiSeq	Scaffold	9685	22604	324554047	42.5	11108	60228	11108	1018	239235		858599399	757449287		SOURCE_DATABASE_GENBANK	NMRB01
GCA_027568995.1	Octopus americanus		2703946	Iridian Genomes	2023-01-03	Illumina	Scaffold	287724	1553	524840729	37	108890	1064505	108890	10	100565213		2534512599	1413817032		SOURCE_DATABASE_GENBANK	JAOPUM01
GCF_001194135.2	Octopus bimaculoides	California two-spot octopus	37653	UC Berkeley	2022-10-06	HiC	Chromosome	98071	5523	715821249	36	145326	713915	145326	9	96881196	30	2342518435	1986264087	male	SOURCE_DATABASE_REFSEQ	LGKD02
GCA_001194135.2	Octopus bimaculoides	California two-spot octopus	37653	UC Berkeley	2022-10-06	HiC	Chromosome	98071	5523	715821249	36	145326	713915	145326	9	96881196	30	2342518435	1986264087	male	SOURCE_DATABASE_GENBANK	LGKD02
GCA_027122535.1	Octopus maya	Mexican four-eyed octopus	623738	Iridian Genomes	2022-12-20	Illumina	Scaffold	187759	2361	539571562	36.5	198627	814385	198627	9	89813523		2341750473	1477916291		SOURCE_DATABASE_GENBANK	JAOPJW01
GCA_027568975.1	Octopus mimus		83531	Iridian Genomes	2023-01-03	Illumina	Scaffold	260396	1141	330022573	36.5	213283	865175	213283	9	80823707		2057065956	901578573		SOURCE_DATABASE_GENBANK	JAOQGO01
GCA_027564515.1	Octopus rubescens		37655	Iridian Genomes	2023-01-03	Illumina	Scaffold	210462	2937	810700655	37	677929	975722	677929	20	23148921		2757134468	2179043574		SOURCE_DATABASE_GENBANK	JAOPUL01
GCF_006345805.1	Octopus sinensis	East Asian common octopus	2607531	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	2019-06-17	PacBio; Illumina	Chromosome	1329	490217	988753973	36	13515	20490	13515	10	105892736	30	2719136158	2718427136		SOURCE_DATABASE_REFSEQ	VCDQ01
GCA_006345805.1	Octopus sinensis	East Asian common octopus	2607531	Yellow Sea Fisheries Research Institute, Chinese Academy of Fishery Sciences	2019-06-17	PacBio; Illumina	Chromosome	1329	490217	988753973	36	13515	20490	13515	10	105892736	30	2719136158	2718427136		SOURCE_DATABASE_GENBANK	VCDQ01
GCA_003957725.1	Octopus vulgaris	common octopus	6645	Stazione Zoologica Anton Dohrn	2018-12-21	Illumina	Scaffold	137635	3040	529653077	36.5	77681	786906	77681	1583	265914		1772957336	1439953177	male	SOURCE_DATABASE_GENBANK	RXHP01
GCA_004794785.1	Opisthorchis felineus	cat liver fluke	147828	Institute of Cytology and Genetics SB RAS	2019-04-15	Illumina HiSeq	Scaffold	3091	54248	267411729	44	13306	37043	13306	320	621022		679245959	607004843		SOURCE_DATABASE_GENBANK	SJOL01
GCF_000715545.1	Opisthorchis viverrini	Southeast Asian liver fluke	6198	The University of Melbourne	2014-07-09	Illumina	Scaffold	4401	36994	250501205	43.5	71006	71006	42216	138	1349843		620452578	572123371		SOURCE_DATABASE_REFSEQ	JACJ01
GCA_000715545.1	Opisthorchis viverrini	Southeast Asian liver fluke	6198	The University of Melbourne	2014-07-09	Illumina	Scaffold	4401	36994	250501205	43.5	71006	71006	42216	138	1349843		620452578	572123371		SOURCE_DATABASE_GENBANK	JACJ01
GCA_001990785.1	Opisthorchis viverrini	Southeast Asian liver fluke	6198	The Genome Institute	2017-02-24	Illumina	Scaffold	4499	24671	195682634	43.5	46167	46167	16038	1528	79767		472260596	448780138	hermaphrodite	SOURCE_DATABASE_GENBANK	LASN01
GCA_024509875.1	Oreohelix idahoensis		2584915	University of Idaho	2022-08-03	Illumina HiSeq; PacBio Sequel	Scaffold	4103	394446	2125789024	39	23228	23503	23228	3984	404192		5404385736	5402313286	hermaphrodite	SOURCE_DATABASE_GENBANK	JAMPIV01
GCA_024699665.1	Ostrea denselamellosa		74434	Ocean University of China	2022-08-15	PacBio HiFi; Illumina; Hi-C	Scaffold	16	13952798	223423241	35	138	154	138	16	13952798		635891909	635891541	female	SOURCE_DATABASE_GENBANK	JAMZEH01
GCF_023158985.2	Ostrea edulis	Colchester native oyster	37623	AquaLeap	2022-04-27	Oxford Nanopore PromethION	Scaffold	129	1809825	331122125	35	1363	2897	1363	5	95564955		935138052	934984802		SOURCE_DATABASE_REFSEQ	JAJSPN01
GCA_023158985.1	Ostrea edulis	Colchester native oyster	37623	AquaLeap	2022-04-27	Oxford Nanopore PromethION	Scaffold	129	1809825	331122125	35	1363	2897	1363	5	95564955		935138052	934984802		SOURCE_DATABASE_GENBANK	JAJSPN01
GCA_024362745.1	Ostrea edulis	Colchester native oyster	37623	Sorbonne University	2022-07-22	PacBio; Illumina HiSeq	Chromosome	6	95771753	367088246	35	7754	7754	7754	6	95771753	10	1035800143	1035800143		SOURCE_DATABASE_GENBANK	JAMSGK01
GCA_947568865.1	Ostrea edulis	Colchester native oyster	37623	WELLCOME SANGER INSTITUTE	2022-12-16	PacBio,Arima2	Scaffold	570	446116	297405519	35.5	3844	3846	3844	570	446728		837649901	837649501		SOURCE_DATABASE_GENBANK	CANOQL01
GCA_947568905.1	Ostrea edulis	Colchester native oyster	37623	WELLCOME SANGER INSTITUTE	2022-12-16	PacBio,Arima2	Chromosome	112	2427391	317531723	35	52	657	52	5	94306699	10	894786893	894665893		SOURCE_DATABASE_GENBANK	CANOQP01
GCA_903981925.1	Ostrea lurida		627230	UNIVERSITY OF WASHINGTON SCHOOL OF AQUATIC AND FISHERY SCIENCES	2020-07-21		Scaffold	40363	7815	394107433	36.5	159429	466560	159429	24678	12947		1140787867	1077310669		SOURCE_DATABASE_GENBANK	CAJDSM01
GCA_903813345.2	Owenia fusiformis		6347	QUEEN MARY UNIVERSITY OF LONDON	2022-03-14		Scaffold	59	2574000	173247777	34.5	819	1627	819	6	38876441		499544331	499118861		SOURCE_DATABASE_GENBANK	CAIIXF02
GCA_029582155.1	Panopea generosa		1049056	Institute of Oceanology, Chinese Academy of Sciences	2023-04-06	PacBio; BGIseq-500; Hi-C	Chromosome	292	1571249	505762802	34	39	2086	39	9	73788920	19	1474161289	1473137789	female	SOURCE_DATABASE_GENBANK	JAPMAH01
GCA_902825435.1	Panopea generosa		1049056	UNIVERSITY OF WASHINGTON SCHOOL OF AQUATIC AND FISHERY SCIENCES	2020-04-15		Scaffold	15618	14495	264779798	33.5	18	113179	18	7	57743597		942353201	783861161		SOURCE_DATABASE_GENBANK	CADEBB01
GCA_020002185.1	Paraescarpia echinospica		2080241	Hong Kong University of Science and Technology	2021-09-21	Illumina NovaSeq; Oxford Nanopore MinION; Hi-C Seq	Chromosome	1239	237234	447737507	40.5	6461	12819	6461	8	69127315	14	1101720295	1095362295		SOURCE_DATABASE_GENBANK	JAHLWY01
GCA_013368495.1	Paragonimus heterotremus		100268	McDonnell Genome Institute	2020-06-23	Illumina	Scaffold	8465	23957	327783296	42	27557	74514	27557	2506	92457		841211332	777905259		SOURCE_DATABASE_GENBANK	LUCH01
GCA_014220965.1	Paragonimus kellicotti		100269	The Genome Institute	2020-08-17	Illumina	Scaffold	20856	7921	264986988	42.5	29377	102291	29377	3316	56030		696536264	616607301		SOURCE_DATABASE_GENBANK	LOND01
GCA_014338405.1	Paragonimus skrjabini miyazakii		59628	The Genome Institute	2020-08-31	Illumina	Scaffold	12983	17789	352879058	42	22318	94923	22318	2320	108769		915809684	836460056		SOURCE_DATABASE_GENBANK	JTDE01
GCA_008508345.1	Paragonimus westermani		34504	University of Queensland	2019-09-18	Illumina HiSeq; PacBio	Scaffold	5598	42170	379838499	43	30455	54582	30455	1943	135171		922829509	876361284		SOURCE_DATABASE_GENBANK	QNGE01
GCA_015252655.1	Paragonimus westermani		34504	The Genome Institute	2020-11-06	Illumina HiSeq	Scaffold	7880	26313	338934094	43	22477	66431	22477	2664	100769		923276502	781896510		SOURCE_DATABASE_GENBANK	JTDF01
GCA_025642065.1	Paralvinella palmiformis	palm worm	53620	Universite de Montreal	2022-10-11	Illumina;Oxford Nanopore PromethION	Contig	316	557207	218895649	36	3622	3622					601252053	601252053		SOURCE_DATABASE_GENBANK	JAODUP01
GCA_948474765.1	Patella depressa		87960	WELLCOME SANGER INSTITUTE	2023-02-03	PacBio,Illumina,Arima	Chromosome	13	13889351	245893530	35.5	35	117	35	5	77532951	9	683711263	683689163		SOURCE_DATABASE_GENBANK	CAOLEZ01
GCA_948474705.1	Patella depressa		87960	WELLCOME SANGER INSTITUTE	2023-02-03	PacBio,Illumina,Arima	Contig	61	3372814	244412498	35.5	492	492					679393924	679393924		SOURCE_DATABASE_GENBANK	CAOLEW01
GCA_917208275.1	Patella pellucida		88005	WELLCOME SANGER INSTITUTE	2021-10-13		Chromosome	63	3173890	258599910	36	62	495	62	4	87163620	9	712057054	711908215		SOURCE_DATABASE_GENBANK	CAKJPN01
GCA_917208175.1	Patella pellucida		88005	WELLCOME SANGER INSTITUTE	2021-10-13		Scaffold	148	1410546	254690271	36	1529	1538	1529	147	1412938		701248048	701243548		SOURCE_DATABASE_GENBANK	CAKJPO01
GCF_932274485.1	Patella vulgata	common limpet	6465	WELLCOME SANGER INSTITUTE	2022-03-10		Chromosome	14	18376887	250751023	36	13	88	13	4	87764759	9	694468775	694453775		SOURCE_DATABASE_REFSEQ	CAKNZN01
GCA_932274485.2	Patella vulgata	common limpet	6465	WELLCOME SANGER INSTITUTE	2022-10-07	PacBio,Illumina,Arima2	Chromosome	10	23836764	251115064	36	22	66	22	4	87393929	9	695367781	695358981		SOURCE_DATABASE_GENBANK	CAKNZN02
GCA_932274405.2	Patella vulgata	common limpet	6465	WELLCOME SANGER INSTITUTE	2022-10-08	PacBio,Illumina,Arima2	Contig	150	1328212	250160437	36	1682	1682					692868471	692868471		SOURCE_DATABASE_GENBANK	CAKNZQ02
GCA_932274485.1	Patella vulgata	common limpet	6465	WELLCOME SANGER INSTITUTE	2022-03-10		Chromosome	14	18376887	250751023	36	13	88	13	4	87764759	9	694468775	694453775		SOURCE_DATABASE_GENBANK	CAKNZN01
GCF_902652985.1	Pecten maximus		6579	SC	2019-11-26		Chromosome	200	1258799	336301334	36.5	3983	5809	3983	10	44824366	19	918306378	917614506		SOURCE_DATABASE_REFSEQ	CACRWE01
GCA_020750765.1	Pecten maximus		6579	Ocean University of China	2021-11-08	PacBio	Scaffold	337	983102	399440477	37.5	105	3918	105	10	50634747		1060237430	1059847330		SOURCE_DATABASE_GENBANK	JAJGAJ01
GCA_902652895.1	Pecten maximus		6579	SC	2019-11-26		Contig	2	108847	169618	37	4	4					456686	456686		SOURCE_DATABASE_GENBANK	CACRVO01
GCA_902652985.1	Pecten maximus		6579	SC	2019-11-26		Chromosome	200	1258799	336301334	36.5	3983	5809	3983	10	44824366	19	918306378	917614506		SOURCE_DATABASE_GENBANK	CACRWE01
GCA_018327765.1	Perna viridis	Asian green mussel	73031	Atmosphere and Ocean research Institute, The University of Tokyo	2021-03-19	Illumina HiSeq2500	Scaffold	3015	70096	234838827	32.5	15933	39299	15933	49	4106954		731874576	715228294		SOURCE_DATABASE_GENBANK	BNGV01
GCA_921293015.1	Phorcus lineatus		1620919	WELLCOME SANGER INSTITUTE	2021-12-05		Chromosome	62	4940451	336641692	35	78	428	78	8	49790511	18	957834846	957764846		SOURCE_DATABASE_GENBANK	CAKLCT01
GCA_921293055.1	Phorcus lineatus		1620919	WELLCOME SANGER INSTITUTE	2021-12-05		Scaffold	438	658343	335806224	35	3090	3108	3090	431	660427		955374394	955370977		SOURCE_DATABASE_GENBANK	CAKLCS01
GCA_002633005.1	Phoronis australis		115415	Okinawa Institute of Science and Technology Graduate University (OIST)	2017-10-23	454; Illumina MiSeq; Illumina HiSeq	Scaffold	2133	68151	192012380	39	3983	15468	3983	226	655058		498443662	488114166		SOURCE_DATABASE_GENBANK	NMRA01
GCA_028565635.1	Phoronis ovalis		492055	Iridian Genomes	2023-02-09	Illumina	Scaffold	17834	4788	110948516	34	113601	123365	113601	14961	5749		326042390	325077420		SOURCE_DATABASE_GENBANK	JAOXYB01
GCA_028565715.1	Phoronis pallida		492056	Iridian Genomes	2023-02-09	Illumina	Scaffold	52451	2318	153668160	36	257561	260149	257561	51547	2362		425364260	425146860		SOURCE_DATABASE_GENBANK	JAOXYC01
GCA_017654935.1	Phymorhynchus buccinoides		480380	BGI	2021-03-31	Illumina NovaSeq; PacBio Sequel	Contig	1465	336037	905539646	42.5	18181	18181					2114589556	2114589556		SOURCE_DATABASE_GENBANK	JAGGCT01
